item_id,merchant,category_id,category,title,price,currency,brand,item_url,quantity,description,product_image,gallery_images
ATL1,Atlantic Discount Store,,,Access 2010,35.99,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28316&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,"Microsoft Access 2010 is all about simplicity. Access 2010 empowers you to make the most of your information - even if you're not a database expert. And, through added Web databases, it amplifies the power of your data, making it easier to track, report, and share with others. Your data will never be further away than your closest Web browser.",https://atlanticdiscountstore.com/images/boxes/productaccess%202010.png,
ATL2,Atlantic Discount Store,,,Microsoft Access 2010,35.98,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28317&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,"Microsoft Access 2010 is all about simplicity. Access 2010 empowers you to make the most of your information - even if you're not a database expert. And, through added Web databases, it amplifies the power of your data, making it easier to track, report, and share with others. Your data will never be further away than your closest Web browser.",https://atlanticdiscountstore.com/images/boxes/productaccess%202010.png,
ATL3,Atlantic Discount Store,,,Microsoft Access 2010 Retail Download,35.97,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28318&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,"Microsoft Access 2010 is all about simplicity. Access 2010 empowers you to make the most of your information - even if you're not a database expert. And, through added Web databases, it amplifies the power of your data, making it easier to track, report, and share with others. Your data will never be further away than your closest Web browser.",https://atlanticdiscountstore.com/images/boxes/productaccess%202010.png,
ATL4,Atlantic Discount Store,,,Microsoft Access 2013,33.99,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28319&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,"Access provides a simple way to build SharePoint apps. Easy-to-use tools help app developers get started fast and quickly share their app, improving end-users productivity from virtually anywhere. In this release, IT can also be confident Access apps are under the control and manageability of SharePoint and SQL Azure or Server Access 2013 features a new application model that is designed for one purpose - to simplify web development much like earlier versions of Access with Windows development. Access 2013 enables subject matter experts to quickly create an application that can be used to run their business. By using Microsoft SharePoint 2013 to host the front end of the app and Microsoft SQL Server 2012 as its data storage technology, Access 2013 significantly improves the manageability and scalability of Access applications. Compatibility with Microsoft Office 365 and SQL Azure significantly expand the reach of Access applications.",https://atlanticdiscountstore.com/images/boxes/productaccess%202013.png,
ATL5,Atlantic Discount Store,,,Microsoft Access 2013 (32/64 Bit),33.98,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28320&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,"Access provides a simple way to build SharePoint apps. Easy-to-use tools help app developers get started fast and quickly share their app, improving end-users productivity from virtually anywhere. In this release, IT can also be confident Access apps are under the control and manageability of SharePoint and SQL Azure or Server Access 2013 features a new application model that is designed for one purpose - to simplify web development much like earlier versions of Access with Windows development. Access 2013 enables subject matter experts to quickly create an application that can be used to run their business. By using Microsoft SharePoint 2013 to host the front end of the app and Microsoft SQL Server 2012 as its data storage technology, Access 2013 significantly improves the manageability and scalability of Access applications. Compatibility with Microsoft Office 365 and SQL Azure significantly expand the reach of Access applications.",https://atlanticdiscountstore.com/images/boxes/productaccess%202013.png,
ATL6,Atlantic Discount Store,,,Microsoft Excel 2013 - Electronic Media + Key,47.97,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28321&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,"What's new in Excel 2013?The first thing you’ll see when you open Excel is a brand new look. It’s cleaner, but it’s also designed to help you get professional-looking results quickly. You’ll find many n.Discover and reveal the insights hidden in your data.Visualize your data to understand it better.Share workbooks more ways for better results.Microsoft Excel 2013 gives you intuitive ways to explore your data, inspiring you to get to new insights..Microsoft Office 2013 Excel for Windows (1-User) keeps you in touch with your data and your colleagues no matter where you are. Keep your spreadsheets in the cloud and share them with others to take advantage of their input. Excel's increased outpu",https://atlanticdiscountstore.com/images/boxes/productexcel%202013.png,
ATL7,Atlantic Discount Store,,,EXCEL 2013 DOWNLOAD,47.98,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28322&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,"What's new in Excel 2013?The first thing you’ll see when you open Excel is a brand new look. It’s cleaner, but it’s also designed to help you get professional-looking results quickly. You’ll find many n.Discover and reveal the insights hidden in your data.Visualize your data to understand it better.Share workbooks more ways for better results.Microsoft Excel 2013 gives you intuitive ways to explore your data, inspiring you to get to new insights..Microsoft Office 2013 Excel for Windows (1-User) keeps you in touch with your data and your colleagues no matter where you are. Keep your spreadsheets in the cloud and share them with others to take advantage of their input. Excel's increased outpu",https://atlanticdiscountstore.com/images/boxes/productexcel%202013.png,
ATL8,Atlantic Discount Store,,,MICROSOFT EXCEL 2013 DOWNLOAD,47.99,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28323&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,"What's new in Excel 2013?The first thing you’ll see when you open Excel is a brand new look. It’s cleaner, but it’s also designed to help you get professional-looking results quickly. You’ll find many n.Discover and reveal the insights hidden in your data.Visualize your data to understand it better.Share workbooks more ways for better results.Microsoft Excel 2013 gives you intuitive ways to explore your data, inspiring you to get to new insights..Microsoft Office 2013 Excel for Windows (1-User) keeps you in touch with your data and your colleagues no matter where you are. Keep your spreadsheets in the cloud and share them with others to take advantage of their input. Excel's increased outpu",https://atlanticdiscountstore.com/images/boxes/productexcel%202013.png,
ATL9,Atlantic Discount Store,,,Microsoft Excel 2016,43.99,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28324&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,Excel 2016 helps you unlock insights and tell the story in your data.,https://atlanticdiscountstore.com/images/boxes/productexcel%202016.png,
ATL10,Atlantic Discount Store,,,Microsoft Excel 2016 - License,43.98,USD,Microsoft,https://atlanticdiscountstore.com/index.php/T1/T100/t800bd9beda9ea2b54347b46da4b38e7/28/28325&utm_source=thshoppingsite&utm_medium=cpc&utm_campaign=cse,1,Excel 2016 helps you unlock insights and tell the story in your data.,https://atlanticdiscountstore.com/images/boxes/productexcel%202016.png,
